lat,lng,country
39.8167,16.2,Italy
46.7167,11.65,Italy
40.8,14.55,Italy
45.6667,12.15,Italy
40.3583,14.9833,Italy
41.8333,12.9,Italy
37.3833,14.3667,Italy
45.7,8.4667,Italy
41.6028,14.2397,Italy
43.4225,11.1267,Italy
46.1697,9.87,Italy
44.65,7.6333,Italy
44.6131,11.8364,Italy
45.5467,12.1575,Italy
45.5833,9.1333,Italy
41.05,16.7,Italy
41.0108,14.1319,Italy
43.129,12.2877,Italy
41.75,13.15,Italy
45.4,11.2833,Italy
41.7287,13.0031,Italy
46.0667,11.2333,Italy
42.9189,10.7614,Italy
41.2333,13.9333,Italy
36.8167,14.95,Italy
43.3986,13.5525,Italy
44.9927,10.7494,Italy
43.8667,10.8167,Italy
41.6833,13.25,Italy
39.2994,9.0918,Italy
45.4333,9.0667,Italy
40.6667,14.4333,Italy
44.3978,11.5894,Italy
46.0167,11.9,Italy
43.775,11.4375,Italy
40.9,16.85,Italy
45.4333,8.7333,Italy
40.0556,17.9917,Italy
41.2167,13.5667,Italy
43.8828,10.7711,Italy
41.2998,13.0248,Italy
45.5,9.0333,Italy
45.5333,9.4,Italy
45.5167,9.75,Italy
45.7808,12.4928,Italy
41.8,12.6667,Italy
39.5,16.3833,Italy
41.6833,13.4167,Italy
41.1833,16.6667,Italy
43.7667,11.1,Italy
42.7167,12.1,Italy
39.4,16.15,Italy
45.0333,7.5333,Italy
42.0455,14.7315,Italy
45.6486,11.7836,Italy
45.4667,10.85,Italy
40.75,13.95,Italy
45.3619,11.7924,Italy
38.4333,15.9,Italy
40.0167,18.1667,Italy
38.0833,13.45,Italy
44.9267,10.52,Italy
45.6,9.8833,Italy
45.55,9.1667,Italy
45.5333,9.1333,Italy
45.9541,12.5027,Italy
45.2977,12.0368,Italy
40.9762,14.1773,Italy
40.65,17.5167,Italy
41.2667,13.75,Italy
40.95,16.9167,Italy
39.2568,9.1387,Italy
44.8167,9.9833,Italy
40.7333,14.55,Italy
44.6761,8.4686,Italy
43.9017,10.6898,Italy
40.8838,17.1679,Italy
36.7303,14.8467,Italy
45.05,12.05,Italy
42.0883,12.2775,Italy
43.2086,13.2841,Italy
42.455,14.1399,Italy
45.5531,9.0775,Italy
42.5167,12.5167,Italy
44.5898,10.7394,Italy
45.5642,9.9997,Italy
